,Name,Artist,Album Art URL,Popularity,Spotify ID,Score
0,My Everything (Deluxe),Ariana Grande,https://i.scdn.co/image/ab67616d0000b273deec12a28d1e336c5052e9aa,80,7xoUc6faLbCqZO6fQEYprd,64.0
2,Dangerous Woman,Ariana Grande,https://i.scdn.co/image/ab67616d0000b2735f9393fda71e7df39b34defd,70,4TZdeM7zelZGz6JPrXSEZ1,76.0
3,Future Nostalgia,Dua Lipa,https://i.scdn.co/image/ab67616d0000b273cda2c6ad6272aea9c5811a49,73,6zrJLhslleCHby0wbUnvVy,88.0
5,Electra Heart (Deluxe),MARINA,https://i.scdn.co/image/ab67616d0000b273203e4c6a048df02a21cdd813,67,4sOX1nhpKwFWPvoMMExi3q,57.0
6,Cape God,Allie X,https://i.scdn.co/image/ab67616d0000b27315e9d0b5437f77aad88af2fd,54,4GSqiK9YdVNhilXMFtCiQB,78.0
7,Pop 2,Charli XCX,https://i.scdn.co/image/ab67616d0000b273c61a793955ac590e672eafe8,48,1qZuf7zgRHKgfSijGm2CTy,84.0
10,Sweetener,Ariana Grande,https://i.scdn.co/image/ab67616d0000b273c3af0c2355c24ed7023cd394,82,2qT1uLXPVPzGgFOx4jtEuo,81.0
11,Love Is Dead,CHVRCHES,https://i.scdn.co/image/ab67616d0000b2730b9e33e107816121c00a644c,42,2zpdPPsPJYGQ9VYRVJXfv9,73.0
12,Charli,Charli XCX,https://i.scdn.co/image/ab67616d0000b273cee4acc7bfe23bc75461a66c,64,3WGJSY8JaGliVIJyMig5aS,80.0
13,MASSEDUCTION,St. Vincent,https://i.scdn.co/image/ab67616d0000b273c5819ccc3fbcd68e3fe0ebd2,57,2qTy3hGSbxoSenKmlKGHFw,88.0
15,Melodrama,Lorde,https://i.scdn.co/image/ab67616d0000b273f8553e18a11209d4becd0336,76,2B87zXm9bOWvAJdkJBTpzF,91.0
16,SAWAYAMA,Rina Sawayama,https://i.scdn.co/image/ab67616d0000b27366a89b08608325d5a34f31d2,70,3stadz88XVpHcXnVYMHc4J,89.0
17,Born To Die,Lana Del Rey,https://i.scdn.co/image/ab67616d0000b273aaa285930cd1623de3eb60c5,60,4vXt6IpMcSnqonljffWlMI,62.0
18,Norman Fucking Rockwell!,Lana Del Rey,https://i.scdn.co/image/ab67616d0000b273db58320165892f952a6ddb3f,81,5XpEKORZ4y6OrCZSKsi46A,87.0
20,SUCKER,Charli XCX,https://i.scdn.co/image/ab67616d0000b273b3497bf02e7734a3212081a7,61,2fGpw56D35My0c82eNfKJF,75.0
21,Yours Truly,Ariana Grande,https://i.scdn.co/image/ab67616d0000b273ea28881e9e363244a4a2347b,71,6czdbbMtGbAkZ6ud2OMTcg,81.0
22,True Romance,Charli XCX,https://i.scdn.co/image/ab67616d0000b2734c635adea07bfe59a0235866,40,5t7Bn5XfE7yj2rqydVq0Ue,76.0
23,My Mind Makes Noises,Pale Waves,https://i.scdn.co/image/ab67616d0000b27364ba31a0761731842d7c497f,55,409ucdW5uJn96fKCsHWPDg,61.0
24,Dua Lipa (Deluxe),Dua Lipa,https://i.scdn.co/image/ab67616d0000b2738273394e70d47a9f76a6678f,64,4btGe14gIJmTxbcPAQBtqb,72.0
25,"thank u, next",Ariana Grande,https://i.scdn.co/image/ab67616d0000b27356ac7b86e090f307e218e9c8,88,2fYhqwDWXjbpjaIJPEfKFw,86.0
27,Random Access Memories,Daft Punk,https://i.scdn.co/image/ab67616d0000b2731d97ca7376f835055f828139,77,4m2880jivSbbyEGAKfITCa,87.0
29,Wincing The Night Away,The Shins,https://i.scdn.co/image/ab67616d0000b2738bbe5ef9d7a21f60ea2c351b,62,4Zl638FA70c4Oxh4AimZLh,79.0
31,Paramore,Paramore,https://i.scdn.co/image/ab67616d0000b273e71a5005c37e8c2ffd9beda8,75,4sgYpkIASM1jVlNC8Wp9oF,81.0
32,Riot!,Paramore,https://i.scdn.co/image/ab67616d0000b27369966efa45b125ed6711b43c,70,3UoOO8m0oxxvUHXUKf3qcZ,67.0
33,Paramore (Deluxe Edition),Paramore,https://i.scdn.co/image/ab67616d0000b273f1ae5b591f552d157dfb2505,59,7J2hXOVq8FZ367dTczV7oH,81.0
34,After Laughter,Paramore,https://i.scdn.co/image/ab67616d0000b273dbd83e179619408e5d05cc99,73,1c9Sx7XdXuMptGyfCB6hHs,82.0
36,Heartthrob,Tegan and Sara,https://i.scdn.co/image/ab67616d0000b273c84d064fdb5b317c8029c2c5,57,5IUJ6v408Z7pECC3BXUJxX,75.0
37,It's Blitz!,Yeah Yeah Yeahs,https://i.scdn.co/image/ab67616d0000b273e922211eede5ae8017ff802f,60,6w21zEx5okRPCYJejLVRdR,82.0
38,Simulation Theory (Super Deluxe),Muse,https://i.scdn.co/image/ab67616d0000b2734cb163c1d111f77307c842b6,70,5OZgDtx180ZZPMpm36J2zC,63.0
41,Fever To Tell (Deluxe Remastered),Yeah Yeah Yeahs,https://i.scdn.co/image/ab67616d0000b2731b1cb4ef0f096f9d66fc3dc6,62,44ePwTuWK88vnalqutqJEG,85.0
42,Love You to Death,Tegan and Sara,https://i.scdn.co/image/ab67616d0000b273b8008ff2ed8ee219986d0363,50,0zqoBumDciJGNoOsvfTP5U,78.0
